Profile,Player,Position,Season,Year,Team,Number,Games,Goals,Assists,Penalties,Shots,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts,Icetime,Icetime_seconds
https://en.khl.ru/players/14598/,Petri Vehanen,Goalie,Regular season,2010/2011,Ak Bars (Kazan),35.0,43,0,2,6,1224,25,12,6,89,1135,92.7,2.1,2,2538:01,152281
https://en.khl.ru/players/14598/,Petri Vehanen,Goalie,Playoffs,2009/2010,Ak Bars (Kazan),35.0,22,0,0,0,590,15,7,0,37,553,93.7,1.6,2,1388:40,83320
https://en.khl.ru/players/14598/,Petri Vehanen,Goalie,Regular season,2009/2010,Ak Bars (Kazan),35.0,25,0,0,4,677,15,5,5,44,633,93.5,1.73,3,1526:58,91618
https://en.khl.ru/players/39616/,Eriks Vitols,Goalie,Regular season,2020/2021,Dinamo (Riga),32.0,4,0,0,0,71,0,2,0,10,61,85.9,5.41,0,110:58,6658
https://en.khl.ru/players/31484/,Michal Vojvoda,Goalie,Regular season,2018/2019,Slovan (Bratislava),29.0,3,0,0,0,60,0,2,0,11,49,81.7,4.87,0,135:26,8126
https://en.khl.ru/players/25416/,Janis Voris,Goalie,Regular season,2020/2021,Dinamo (Riga),39.0,11,0,0,0,281,2,8,1,38,243,86.5,3.55,0,641:31,38491
https://en.khl.ru/players/25416/,Janis Voris,Goalie,Regular season,2019/2020,Dinamo (Riga),36.0,7,0,0,0,177,1,4,1,19,158,89.3,3.22,1,354:09,21249
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Regular season,2013/2014,Salavat Yulaev (Ufa),37.0,20,0,0,0,540,10,7,1,48,492,91.1,2.56,0,1125:33,67533
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Playoffs,2012/2013,Atlant (Moscow Region),30.0,1,0,0,0,16,0,0,0,3,13,81.2,10.6,0,16:59,1019
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Regular season,2012/2013,OHC Dynamo (Moscow),30.0,12,0,0,0,275,7,4,0,30,245,89.1,2.69,0,669:09,40149
https://en.khl.ru/players/6488/,Alexei Volkov,Goalie,Regular season,2012/2013,Summary:,,12,0,0,0,275,7,4,0,30,245,89.1,2.69,0,669:09,40149
